IDX,TRANSLATION
0,"Спряжение croire совпадает со спряжением глагола croître в форме я, ты и он. Будьте бдительны, не дайте себя ввести в заблуждение! :)"
1,"У <b>absoudre</b> причастия прошелшего времени (participe passé) мужского рода <i>absous</i> и женского рода <i>absoute</i> заменили устаревшее причастие <i>absolu</i>. Та же история и с глагоглом <b>dissoudre</b>.В отличие от «одногруппника» résoudre, у этих глаголов нет форм в passé simple и subjonctif passé."
2,"Форма participe passé у глагола résoudre — résolu, доставшаяся нам от старых времен. Существует форма résous/résoute, но она используется очень редко. А вот у глагола с похожим спряжением absoudre прижилась именно такая форма причастия (absous/absoute), а устаревшая его форма absolu отмерла. А что делать! Язык — живой организм, в нем все течет, все из меня... ;)"
3,"Accroître, décroître и recroître спрягаются без <span style=""background-color:rgb(255,242,190)"" title=""по--научному: accent circonflexe"">«крыышки»</span> над буквой «i» во всех окончаниях, где следом за этой буквой не стоит буква «t», причем это справедливо для всех форм: есть t — есть и «крыышка», нет t — нет крышки. Утром стулья — вечером деньги. Все просто! 
 
 А вот croître сохранил все свои <span style=""background-color:rgb(255,242,190)"" title=""да те же «крышки»"">циркумфлексы</span> во всех тех формах, где их можно было бы спутать с формами глагола croire. 
 
 Реформа 1990 года разрешила писать инфинитивы этих глаголов без крышек."
4,"Accroître, décroître и recroître спрягаются без <span style=""background-color:rgb(255,242,190)"" title=""по--научному: accent circonflexe"">«крыышки»</span> над буквой «i» во всех окончаниях, где следом за этой буквой не стоит буква «t», причем это справедливо для всех форм: есть t — есть и «крыышка», нет t — нет крышки. Утром стулья — вечером деньги. Все просто! 
 
 А вот croître сохранил все свои <span style=""background-color:rgb(255,242,190)"" title=""да те же «крышки»"">циркумфлексы</span> во всех тех формах, где их можно было бы спутать с формами глагола croire. 
 
 В классическом написании croître циркумфлекс ставился в причастии прошедшего времени только в форме мужского рода. Это выглядело так: crû - crue - crus - crues. Реформа 1990 года упростила это дело и позволила ставить циркумфлекс во всех этих формах.
 
 Кроме этого, реформа разрешила не ставить циркумфлекс в инфинитиве и, как следствие, в futur simple и conditionnel présent, где он выступает в качестве основы. В итоге мы теперь имеем два варианта спряжения этого глагола."
5,"Cueillir, accueillir и recueillir спрягаются по одной схеме. В passé simple ведут себя, как глаголы первой группы."
6,"Luire, nuire и reluire спрягаются так же, как и conduire, construire и cuire — с той лишь разницей, что у них иначе выглядит participe passé: lui, nui и relui (а у тех — conduit, construit, cuit). Кроме того, passé simple глагола luire выглядит je luis... ils reluirent, а у nuire: je nuisis... ils nuisirent."
7,"Спрягается по схеме conduire, construire, cuire..."
8,"Модель спряжения connaître и paraître. У всех глаголов на -aître и -oître ставится циркумфлекс у буквы i, стоящей перед t во всех формах спряжения. Реформа 1990 года разрешила эти крышки не ставить."
9,"Входит в группу спряжения глаголов couvrir, ouvrir, offrir, souffrir и их производных. Ведут себя в спряжении, как глаголы первой группы, таковыми не являясь — отличаются только способом образования причастий прошедшего времени."
10,"Servir, desservir и resservir спрягаются одинаково, а вот внешне похожий на них asservir — ни разу нет: он спрягается, как finir."
11,"Глагол группы vêtir, dévêtir, revêtir. Несмотря на правила спряжения этих глаголов, большинство спрягает все три формы единственого числа в настоящем времени по схеме глагола finir: je vêtis…"
